source_text,target_text
80-0.00|000100000006000300030001:,0001000000050003027fff
80-0.05|000200000006000300030001:,0002000000050003027fff
80-0.10|000300000006000300030001:,0003000000050003027fff
80-0.15|000400000006000300030001:,0004000000050003027fff
80-0.20|000500000006000300030001:,0005000000050003027fff
80-0.26|000600000006000300030001:,0006000000050003027fff
80-0.31|000700000006000300030001:,0007000000050003027fff
80-0.36|000800000006000300030001:,0008000000050003027fff
80-0.41|000900000006000300030001:,0009000000050003027fff
80-0.46|000a00000006000300030001:,000a000000050003027fff
80-0.51|000b00000006000300030001:,000b000000050003027fff
80-0.56|000c00000006000300030001:,000c000000050003027fff
80-0.62|000d00000006000300030001:,000d000000050003027fff
80-0.67|000e00000006000300030001:,000e000000050003027fff
80-0.72|000f00000006000300030001:,000f000000050003027fff
80-0.77|001000000006000300030001:,0010000000050003027fec
80-0.82|001100000006000300030001:,0011000000050003027fec
80-0.87|001200000006000300030001:,0012000000050003027fff
80-0.92|001300000006000300030001:,0013000000050003027fff
80-0.98|001400000006000300030001:,0014000000050003027fff
80-1.03|001500000006000300030001:,0015000000050003027fff
80-1.08|001600000006000300030001:,0016000000050003027fff
80-1.13|001700000006000300030001:,0017000000050003027fff
80-1.18|001800000006000300030001:,0018000000050003027fff
80-1.23|001900000006000300030001:,0019000000050003027fff
80-1.28|001a00000006000300030001:,001a000000050003027f57
80-1.33|001b00000006000300030001:,001b000000050003027f57
80-1.39|001c00000006000300030001:,001c000000050003027fff
80-1.44|001d00000006000300030001:,001d000000050003027fff
80-1.49|001e00000006000300030001:,001e000000050003027fff
80-1.54|001f00000006000300030001:,001f000000050003027fff
80-1.59|002000000006000300030001:,0020000000050003027fea
80-1.64|002100000006000300030001:,0021000000050003027fea
80-1.70|002200000006000300030001:,0022000000050003027fff
80-1.75|002300000006000300030001:,0023000000050003027fff
80-1.80|002400000006000300030001:,0024000000050003027fff
80-1.85|002500000006000300030001:,0025000000050003027fff
80-1.90|002600000006000300030001:,0026000000050003027fee
80-1.95|002700000006000300030001:,0027000000050003027fee
80-2.00|002800000006000300030001:,0028000000050003027fff
80-2.05|002900000006000300030001:,0029000000050003027fff
80-2.11|002a00000006000300030001:,002a000000050003027fff
80-2.16|002b00000006000300030001:,002b000000050003027fff
80-2.21|002c00000006000300030001:,002c000000050003027fff
80-2.26|002d00000006000300030001:,002d000000050003027fff
80-2.31|002e00000006000300030001:,002e000000050003027fff
80-2.36|002f00000006000300030001:,002f000000050003027fff
80-2.41|003000000006000300030001:,0030000000050003027fff
80-2.46|003100000006000300030001:,0031000000050003027fff
80-2.52|003200000006000300030001:,0032000000050003027fff
80-2.57|003300000006000300030001:,0033000000050003027fff
80-2.62|003400000006000300030001:,0034000000050003027fff
80-2.67|003500000006000300030001:,0035000000050003027fff
80-2.72|003600000006000300030001:,0036000000050003027fff
80-2.77|003700000006000300030001:,0037000000050003027fff
80-2.82|003800000006000300030001:,0038000000050003027fff
80-2.88|003900000006000300030001:,0039000000050003027fff
80-2.93|003a00000006000300030001:,003a000000050003027fff
80-2.98|003b00000006000300030001:,003b000000050003027fff
80-3.03|003c00000006000300030001:,003c000000050003027fff
80-3.08|003d00000006000300030001:,003d000000050003027fe6
80-3.13|003e00000006000300030001:,003e000000050003027fe6
80-3.18|003f00000006000300030001:,003f000000050003027fd2
80-3.24|004000000006000300030001:,0040000000050003027fd2
80-3.29|004100000006000300030001:,0041000000050003027fff
80-3.34|004200000006000300030001:,0042000000050003027fff
80-3.39|004300000006000300030001:,0043000000050003027fff
80-3.44|004400000006000300030001:,0044000000050003027fff
80-3.49|004500000006000300030001:,0045000000050003027fff
80-3.54|004600000006000300030001:,0046000000050003027fff
80-3.59|004700000006000300030001:,0047000000050003027fff
80-3.65|004800000006000300030001:,0048000000050003027fff
80-3.70|004900000006000300030001:,0049000000050003027fff
80-3.75|004a00000006000300030001:,004a000000050003027fff
80-3.80|004b00000006000300030001:,004b000000050003027fff
80-3.85|004c00000006000300030001:,004c000000050003027fff
80-3.90|004d00000006000300030001:,004d000000050003027fff
80-3.95|004e00000006000300030001:,004e000000050003027fff
80-4.00|004f00000006000300030001:,004f000000050003027fff
80-4.06|005000000006000300030001:,0050000000050003027fff
80-4.11|005100000006000300030001:,0051000000050003027ffb
80-4.16|005200000006000300030001:,0052000000050003027ffb
80-4.21|005300000006000300030001:,0053000000050003027fff
80-4.26|005400000006000300030001:,0054000000050003027fff
80-4.31|005500000006000300030001:,0055000000050003027fff
80-4.36|005600000006000300030001:,0056000000050003027fff
80-4.42|005700000006000300030001:,0057000000050003027fff
80-4.47|005800000006000300030001:,0058000000050003027fff
80-4.52|005900000006000300030001:,0059000000050003027fff
80-4.57|005a00000006000300030001:,005a000000050003027fab
80-4.62|005b00000006000300030001:,005b000000050003027fab
80-4.67|005c00000006000300030001:,005c000000050003027fff
80-4.73|005d00000006000300030001:,005d000000050003027fff
80-4.78|005e00000006000300030001:,005e000000050003027fff
80-4.83|005f00000006000300030001:,005f000000050003027fff
80-4.88|006000000006000300030001:,0060000000050003027fff
80-4.93|006100000006000300030001:,0061000000050003027fff
80-4.98|006200000006000300030001:,0062000000050003027fff
80-5.03|006300000006000300030001:,0063000000050003027fff
