step,csv-train_loss_step,csv-epoch
0,3.872853994369507,0
1,3.207796573638916,0
2,3.144233226776123,0
3,2.9660730361938477,0
4,3.0184860229492188,0
5,2.758957624435425,0
6,2.6368026733398438,0
7,2.5334739685058594,0
8,2.1931538581848145,0
9,2.1573681831359863,0
10,2.2734580039978027,0
11,2.2927732467651367,0
12,1.982866644859314,0
13,2.080714225769043,0
14,2.0367555618286133,0
15,1.9802262783050537,0
16,2.039550304412842,0
17,2.0472936630249023,0
18,1.8550617694854736,0
19,1.6563100814819336,0
20,1.9041543006896973,0
21,1.6127653121948242,0
22,1.9387760162353516,0
23,1.5960071086883545,0
24,1.7431755065917969,0
25,1.6489839553833008,0
26,1.698072910308838,0
27,1.5568625926971436,0
28,1.5124611854553223,0
29,1.5142064094543457,0
30,1.501706838607788,0
31,1.456164002418518,0
32,1.3251426219940186,0
33,1.3405323028564453,0
34,1.5941115617752075,0
35,1.3556385040283203,0
36,1.273890733718872,0
37,1.278957486152649,0
38,1.260237455368042,0
39,1.4389415979385376,0
40,1.5132992267608643,0
41,1.392557978630066,0
42,1.2466434240341187,0
43,1.345116376876831,0
44,1.2124619483947754,0
45,1.2984933853149414,0
46,1.1910617351531982,0
47,1.1643650531768799,0
48,1.2024195194244385,0
49,1.056249976158142,0
50,1.3120906352996826,0
51,1.1489536762237549,0
52,1.1953799724578857,0
53,1.1036301851272583,0
54,1.069129467010498,0
55,1.115783452987671,0
56,1.0077544450759888,0
57,1.2267595529556274,0
58,1.1170989274978638,0
59,1.0687615871429443,0
60,1.0347709655761719,0
61,1.1322858333587646,0
62,0.975489616394043,0
63,1.0564253330230713,0
64,1.176934003829956,0
65,1.007537603378296,0
66,1.0635442733764648,0
67,0.9520801901817322,0
68,1.2093148231506348,0
69,1.0652942657470703,0
70,0.9996470212936401,0
71,1.0251007080078125,0
72,0.9071413278579712,0
73,1.0117191076278687,0
74,0.8523484468460083,0
75,0.9431760311126709,0
76,0.9306928515434265,0
77,0.9980102181434631,0
78,0.8690892457962036,0
79,0.8996268510818481,0
80,0.8744977712631226,0
81,0.9161611795425415,0
82,0.8808876276016235,0
83,0.8257678151130676,0
84,1.0126664638519287,0
85,0.8289369344711304,0
86,0.8912512063980103,0
87,0.8428901433944702,0
88,0.9430301189422607,0
89,0.8155639171600342,0
90,0.803909957408905,0
91,0.7089253664016724,0
92,0.7023917436599731,0
93,0.8409186005592346,0
94,0.7430652379989624,0
95,0.7307285666465759,0
96,0.8305949568748474,0
97,0.8835369348526001,0
98,0.7365241646766663,0
99,0.7701927423477173,0
100,0.7691041231155396,0
101,0.7882291674613953,0
102,0.6501431465148926,0
103,0.7000547647476196,0
104,0.7788059711456299,0
105,0.8381396532058716,0
106,0.7038110494613647,0
107,0.611299991607666,0
108,0.6480505466461182,0
109,0.6687285900115967,0
110,0.6888223886489868,0
111,0.5472776889801025,0
112,0.47459763288497925,0
113,0.5847174525260925,0
