step,csv-epoch,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/exact,csv-accuracy/validator,csv-train_loss_epoch
0,0,3.6143798828125,,,,,
1,0,3.5376949310302734,,,,,
2,0,3.3838138580322266,,,,,
3,0,2.797107219696045,,,,,
4,0,3.1232645511627197,,,,,
5,0,2.77156138420105,,,,,
6,0,3.0545544624328613,,,,,
7,0,2.7947115898132324,,,,,
8,0,2.8759026527404785,,,,,
9,0,2.79595947265625,,,,,
10,0,2.5783700942993164,,,,,
11,0,2.560270071029663,,,,,
12,0,2.7035398483276367,,,,,
13,0,2.6625142097473145,,,,,
14,0,2.3927650451660156,,,,,
15,0,2.468759536743164,,,,,
16,0,2.4517838954925537,,,,,
17,0,2.420900821685791,,,,,
18,0,2.3521502017974854,,,,,
19,0,2.1662039756774902,,,,,
20,0,2.2763755321502686,,,,,
21,0,2.3414487838745117,,,,,
22,0,2.1878409385681152,,,,,
23,0,2.1991007328033447,,,,,
24,0,2.1722090244293213,,,,,
25,0,2.400402545928955,,,,,
26,0,2.270174264907837,,,,,
27,0,2.1013355255126953,,,,,
28,0,2.166059970855713,,,,,
29,0,2.184586524963379,,,,,
30,0,2.0818257331848145,,,,,
31,0,2.16347074508667,,,,,
32,0,2.1448981761932373,,,,,
33,0,2.0147945880889893,,,,,
34,0,2.07136607170105,,,,,
35,0,2.107912063598633,,,,,
36,0,2.028164863586426,,,,,
37,0,2.055096387863159,,,,,
38,0,1.8340550661087036,,,,,
39,0,2.0970499515533447,,,,,
40,0,1.846160888671875,,,,,
41,0,1.8461657762527466,,,,,
42,0,1.9985768795013428,,,,,
43,0,1.9618356227874756,,,,,
44,0,1.8509284257888794,,,,,
45,0,1.8252198696136475,,,,,
46,0,1.7571046352386475,,,,,
47,0,1.7480815649032593,,,,,
48,0,1.912663459777832,,,,,
49,0,1.870948314666748,,,,,
50,0,1.8839187622070312,,,,,
51,0,1.7054287195205688,,,,,
52,0,1.6331044435501099,,,,,
53,0,1.645352840423584,,,,,
54,0,1.6342763900756836,,,,,
55,0,1.7074013948440552,,,,,
56,0,1.7093539237976074,,,,,
57,0,1.6647086143493652,,,,,
58,0,1.7688580751419067,,,,,
59,0,1.6233041286468506,,,,,
60,0,1.6938843727111816,,,,,
61,0,1.7035003900527954,,,,,
62,0,1.530281901359558,,,,,
63,0,1.5879278182983398,,,,,
64,0,1.6638087034225464,,,,,
65,0,1.610098123550415,,,,,
66,0,1.6083905696868896,,,,,
67,0,1.6605823040008545,,,,,
68,0,1.468950629234314,,,,,
69,0,1.535468339920044,,,,,
70,0,1.7707548141479492,,,,,
71,0,1.6843938827514648,,,,,
72,0,1.6212354898452759,,,,,
