csv-train_loss_step,csv-epoch,step,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/exact,csv-accuracy/validator
3.8569228649139404,0,0,,,,,
3.577824831008911,0,1,,,,,
3.0684900283813477,0,2,,,,,
2.9841601848602295,0,3,,,,,
2.7172956466674805,0,4,,,,,
2.6750590801239014,0,5,,,,,
2.6061503887176514,0,6,,,,,
2.4398019313812256,0,7,,,,,
2.3199141025543213,0,8,,,,,
2.1974740028381348,0,9,,,,,
2.2117345333099365,0,10,,,,,
2.2032179832458496,0,11,,,,,
2.0334134101867676,0,12,,,,,
2.0243306159973145,0,13,,,,,
1.9485176801681519,0,14,,,,,
1.7865725755691528,0,15,,,,,
1.79194176197052,0,16,,,,,
1.7100210189819336,0,17,,,,,
1.670344352722168,0,18,,,,,
1.5948230028152466,0,19,,,,,
,,0,1.2153289318084717,,,,
,,1,1.3195220232009888,,,,
,,2,1.2054252624511719,,,,
,0,19,,1.2550252676010132,,,
,0,19,,,2.3709003925323486,0.0,0.0
1.6161822080612183,1,20,,,,,
1.684462547302246,1,21,,,,,
1.6276166439056396,1,22,,,,,
1.443547248840332,1,23,,,,,
1.475589394569397,1,24,,,,,
1.5102720260620117,1,25,,,,,
1.4218175411224365,1,26,,,,,
1.397014856338501,1,27,,,,,
1.450423002243042,1,28,,,,,
1.3883378505706787,1,29,,,,,
1.3646043539047241,1,30,,,,,
1.2701939344406128,1,31,,,,,
1.3863487243652344,1,32,,,,,
1.1666845083236694,1,33,,,,,
1.3522530794143677,1,34,,,,,
1.3199102878570557,1,35,,,,,
1.193453073501587,1,36,,,,,
1.1851953268051147,1,37,,,,,
1.0743591785430908,1,38,,,,,
1.1164684295654297,1,39,,,,,
,,3,0.7910540699958801,,,,
,,4,0.8723058104515076,,,,
,,5,0.8198857307434082,,,,
,1,39,,0.8293210864067078,,,
,1,39,,,1.3722368478775024,0.0,0.046875
1.1932238340377808,2,40,,,,,
1.1190093755722046,2,41,,,,,
1.1500656604766846,2,42,,,,,
1.1332149505615234,2,43,,,,,
1.0737875699996948,2,44,,,,,
1.0766751766204834,2,45,,,,,
1.167731761932373,2,46,,,,,
1.0389833450317383,2,47,,,,,
