source_text,target_text
000100000005002b0e0102,000100000012002b0e0183000001020830332e30312e3032
0002000000060005fffeff00,000200000003008502
00030000000b00100000000204ffff0000,000300000006001000000002
000400000006000300280002,000400000003008302
000500000006000100000001,00050000000400010100
000600000006000537daff00,000600000003008502
000700000005002b0e0101,00070000001b002b0e018300000201073735302d383831020830332e30312e3032
000800000006000100270001,00080000000400010100
000900000005002b0e0101,00090000001b002b0e018300000201073735302d383831020830332e30312e3032
000a00000005002b0e0101,000a0000001b002b0e018300000201073735302d383831020830332e30312e3032
000b00000005002b0e0102,000b00000012002b0e0183000001020830332e30312e3032
000c00000006000300000002,000c00000007000304ffff0000
000d000000060005c987ff00,000d00000003008502
000e00000005002b0e0100,000e00000021002b0e018300000300045741474f01073735302d383831020830332e30312e3032
000f000000060001fffc0002,000f00000003008102
001000000005002b0e0102,001000000012002b0e0183000001020830332e30312e3032
001100000005002b0e0102,001100000012002b0e0183000001020830332e30312e3032
001200000005002b0e0101,00120000001b002b0e018300000201073735302d383831020830332e30312e3032
001300000005002b0e0101,00130000001b002b0e018300000201073735302d383831020830332e30312e3032
00140000000b00100028000204ffff0000,001400000003009002
001500000005002b0e0100,001500000021002b0e018300000300045741474f01073735302d383831020830332e30312e3032
001600000006000300250002,00160000000700030400000000
001700000005002b0e0103,001700000008002b0e0183000000
001800000005002b0e0103,001800000008002b0e0183000000
001900000006000100280002,001900000003008102
001a00000008000f000000020103,001a00000006000f00000002
001b000000060005fffdff00,001b00000003008502
001c000000060005fffdff00,001c00000003008502
001d00000006000300000001,001d00000005000302ffff
001e00000006000100260001,001e0000000400010100
001f00000005002b0e0101,001f0000001b002b0e018300000201073735302d383831020830332e30312e3032
002000000005002b0e0101,00200000001b002b0e018300000201073735302d383831020830332e30312e3032
002100000005002b0e0103,002100000008002b0e0183000000
002200000006000300250002,00220000000700030400000000
002300000005002b0e0101,00230000001b002b0e018300000201073735302d383831020830332e30312e3032
002400000005002b0e0103,002400000008002b0e0183000000
002500000005002b0e0102,002500000012002b0e0183000001020830332e30312e3032
002600000005002b0e0102,002600000012002b0e0183000001020830332e30312e3032
00270000000600012ce20002,002700000003008102
002800000005002b0e0102,002800000012002b0e0183000001020830332e30312e3032
002900000005002b0e0102,002900000012002b0e0183000001020830332e30312e3032
002a00000005002b0e0102,002a00000012002b0e0183000001020830332e30312e3032
002b0000000600050028ff00,002b00000003008502
002c00000005002b0e0101,002c0000001b002b0e018300000201073735302d383831020830332e30312e3032
002d0000000600052ce2ff00,002d00000003008502
002e000000060003000e0002,002e0000000700030400000000
002f00000005002b0e0102,002f00000012002b0e0183000001020830332e30312e3032
003000000006000137da0001,003000000003008102
