step,csv-train_loss_step,csv-epoch,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/none,csv-train_loss_epoch,csv-accuracy/micro
0,3.5471675395965576,0,,,,,
1,3.052919864654541,0,,,,,
2,2.7998034954071045,0,,,,,
3,2.7149744033813477,0,,,,,
4,2.6218667030334473,0,,,,,
5,2.5177228450775146,0,,,,,
6,2.3300936222076416,0,,,,,
7,2.158367872238159,0,,,,,
8,2.0204267501831055,0,,,,,
9,1.9564542770385742,0,,,,,
10,1.9177355766296387,0,,,,,
11,1.8273646831512451,0,,,,,
12,1.7531253099441528,0,,,,,
0,,,1.2747085094451904,,,,
1,,,1.2983169555664062,,,,
12,,0,,1.2837886810302734,,,
12,,0,,,0.0,2.401386260986328,0.0
13,1.6981405019760132,1,,,,,
14,1.611375331878662,1,,,,,
15,1.576139211654663,1,,,,,
16,1.5429542064666748,1,,,,,
17,1.4441351890563965,1,,,,,
18,1.415299654006958,1,,,,,
19,1.4168541431427002,1,,,,,
20,1.3184406757354736,1,,,,,
21,1.3130476474761963,1,,,,,
22,1.2694993019104004,1,,,,,
23,1.2420375347137451,1,,,,,
24,1.1810908317565918,1,,,,,
25,1.1522908210754395,1,,,,,
2,,,0.7814326286315918,,,,
3,,,0.8041223883628845,,,,
25,,1,,0.7901594638824463,,,
25,,1,,,0.012500000186264515,1.398561716079712,0.0234375
26,1.0911083221435547,2,,,,,
27,1.1255924701690674,2,,,,,
28,1.1078156232833862,2,,,,,
29,1.0479540824890137,2,,,,,
30,1.0569030046463013,2,,,,,
31,1.075044870376587,2,,,,,
32,1.0151554346084595,2,,,,,
33,1.02507483959198,2,,,,,
34,0.9614394903182983,2,,,,,
35,1.0185999870300293,2,,,,,
36,0.946019172668457,2,,,,,
37,0.9360863566398621,2,,,,,
38,0.9445233345031738,2,,,,,
4,,,0.6070235371589661,,,,
5,,,0.6426846981048584,,,,
38,,2,,0.6207393407821655,,,
38,,2,,,0.05624999850988388,1.0270243883132935,0.2640624940395355
39,0.8912588953971863,3,,,,,
40,0.926597535610199,3,,,,,
41,0.8608839511871338,3,,,,,
42,0.8651376962661743,3,,,,,
43,0.8478409051895142,3,,,,,
44,0.8641519546508789,3,,,,,
45,0.8196642398834229,3,,,,,
46,0.8352223634719849,3,,,,,
47,0.7887779474258423,3,,,,,
48,0.7947838306427002,3,,,,,
49,0.7697253227233887,3,,,,,
50,0.755580484867096,3,,,,,
51,0.7283684015274048,3,,,,,
6,,,0.5416659712791443,,,,
7,,,0.582502007484436,,,,
51,,3,,0.5573720932006836,,,
51,,3,,,0.05312499776482582,0.8267687559127808,0.17656248807907104
52,0.806792676448822,4,,,,,
53,0.7098708748817444,4,,,,,
54,0.6882914304733276,4,,,,,
55,0.7219628691673279,4,,,,,
56,0.6769109964370728,4,,,,,
57,0.6158090829849243,4,,,,,
58,0.7016904354095459,4,,,,,
59,0.6452873945236206,4,,,,,
60,0.6479068398475647,4,,,,,
61,0.6604855060577393,4,,,,,
62,0.6454153060913086,4,,,,,
63,0.5693883299827576,4,,,,,
64,0.6136124134063721,4,,,,,
8,,,0.40600529313087463,,,,
9,,,0.4306621253490448,,,,
64,,4,,0.41548866033554077,,,
64,,4,,,0.05312499776482582,0.6694942116737366,0.25312498211860657
65,0.5952738523483276,5,,,,,
66,0.5745820999145508,5,,,,,
67,0.5397428274154663,5,,,,,
68,0.5433415174484253,5,,,,,
69,0.5499428510665894,5,,,,,
70,0.5440903306007385,5,,,,,
71,0.5230215787887573,5,,,,,
72,0.5306054949760437,5,,,,,
73,0.5543909668922424,5,,,,,
74,0.5221189260482788,5,,,,,
75,0.507289707660675,5,,,,,
76,0.49653899669647217,5,,,,,
77,0.4962061941623688,5,,,,,
10,,,0.3046753406524658,,,,
11,,,0.30737054347991943,,,,
77,,5,,0.305711954832077,,,
77,,5,,,0.10468749701976776,0.5367035269737244,0.4281249940395355
78,0.4526909589767456,6,,,,,
79,0.49724820256233215,6,,,,,
80,0.42435795068740845,6,,,,,
81,0.4735037088394165,6,,,,,
82,0.4310470223426819,6,,,,,
83,0.48666059970855713,6,,,,,
84,0.4215031862258911,6,,,,,
85,0.44062915444374084,6,,,,,
86,0.3948665261268616,6,,,,,
87,0.41693031787872314,6,,,,,
88,0.40276968479156494,6,,,,,
89,0.38875362277030945,6,,,,,
90,0.3862670063972473,6,,,,,
12,,,0.22299158573150635,,,,
13,,,0.2189461886882782,,,,
90,,6,,0.22143565118312836,,,
90,,6,,,0.07187499850988388,0.4320944547653198,0.746874988079071
91,0.39853841066360474,7,,,,,
92,0.34603583812713623,7,,,,,
93,0.40667006373405457,7,,,,,
94,0.36724695563316345,7,,,,,
