csv-train_loss_step,csv-epoch,step,csv-val_loss_step
3.639603614807129,0,0,
3.296081066131592,0,1,
3.229759931564331,0,2,
2.978240728378296,0,3,
2.868647336959839,0,4,
2.6001064777374268,0,5,
2.813356637954712,0,6,
2.457845687866211,0,7,
2.4938409328460693,0,8,
2.289175033569336,0,9,
2.287327527999878,0,10,
2.240494966506958,0,11,
2.0088982582092285,0,12,
2.0582921504974365,0,13,
2.044515609741211,0,14,
1.8047876358032227,0,15,
1.7843825817108154,0,16,
1.7815290689468384,0,17,
1.804681420326233,0,18,
1.676653504371643,0,19,
1.619135856628418,0,20,
1.5719074010849,0,21,
1.5644088983535767,0,22,
1.548264503479004,0,23,
1.4748831987380981,0,24,
1.4933013916015625,0,25,
1.3981812000274658,0,26,
1.3741191625595093,0,27,
1.4176479578018188,0,28,
1.2682383060455322,0,29,
1.3094661235809326,0,30,
1.2757189273834229,0,31,
1.2419763803482056,0,32,
1.3150203227996826,0,33,
1.2165541648864746,0,34,
1.2432289123535156,0,35,
1.1306498050689697,0,36,
1.1760822534561157,0,37,
1.1760213375091553,0,38,
1.0322052240371704,0,39,
1.0710725784301758,0,40,
1.0528218746185303,0,41,
1.179171085357666,0,42,
1.1150027513504028,0,43,
1.0066090822219849,0,44,
1.0280901193618774,0,45,
1.1642669439315796,0,46,
1.030174970626831,0,47,
1.136122703552246,0,48,
0.9050964713096619,0,49,
0.9840448498725891,0,50,
1.035636305809021,0,51,
0.987047016620636,0,52,
1.0224230289459229,0,53,
0.8872658610343933,0,54,
0.9021832942962646,0,55,
0.9203066229820251,0,56,
0.941123902797699,0,57,
0.8322514891624451,0,58,
0.8029025197029114,0,59,
0.9045024514198303,0,60,
0.849637508392334,0,61,
0.859861433506012,0,62,
0.9404996633529663,0,63,
,,0,0.6404699087142944
