source_text,target_text
0.0|000100000006000300030001:,0001000000050003027fff
0.1|000200000006000300030001:,0002000000050003027fff
0.1|000300000006000300030001:,0003000000050003027fff
0.2|000400000006000300030001:,0004000000050003027fff
0.2|000500000006000300030001:,0005000000050003027fff
0.3|000600000006000300030001:,0006000000050003027fff
0.3|000700000006000300030001:,0007000000050003027fff
0.4|000800000006000300030001:,0008000000050003027fff
0.4|000900000006000300030001:,0009000000050003027fff
0.5|000a00000006000300030001:,000a000000050003027fff
0.5|000b00000006000300030001:,000b000000050003027fff
0.6|000c00000006000300030001:,000c000000050003027fff
0.6|000d00000006000300030001:,000d000000050003027fff
0.7|000e00000006000300030001:,000e000000050003027fff
0.7|000f00000006000300030001:,000f000000050003027fff
0.8|001000000006000300030001:,0010000000050003027fff
0.8|001100000006000300030001:,0011000000050003027fff
0.9|001200000006000300030001:,0012000000050003027fff
0.9|001300000006000300030001:,0013000000050003027fff
1.0|001400000006000300030001:,0014000000050003027fff
1.0|001500000006000300030001:,0015000000050003027fff
1.1|001600000006000300030001:,0016000000050003027fff
1.1|001700000006000300030001:,0017000000050003027fff
1.2|001800000006000300030001:,0018000000050003027fff
1.2|001900000006000300030001:,0019000000050003027fff
1.3|001a00000006000300030001:,001a000000050003027fff
1.3|001b00000006000300030001:,001b000000050003027fff
1.4|001c00000006000300030001:,001c000000050003027fff
1.4|001d00000006000300030001:,001d000000050003027fff
1.5|001e00000006000300030001:,001e000000050003027fff
1.5|001f00000006000300030001:,001f000000050003027fff
1.6|002000000006000300030001:,0020000000050003027fff
1.6|002100000006000300030001:,0021000000050003027fff
1.7|002200000006000300030001:,0022000000050003027fff
1.7|002300000006000300030001:,0023000000050003027fff
1.8|002400000006000300030001:,0024000000050003027fff
1.8|002500000006000300030001:,0025000000050003027fff
1.9|002600000006000300030001:,0026000000050003027fff
2.0|002700000006000300030001:,0027000000050003027fff
2.0|002800000006000300030001:,0028000000050003027fff
2.1|002900000006000300030001:,0029000000050003027fff
2.1|002a00000006000300030001:,002a000000050003027fff
2.2|002b00000006000300030001:,002b000000050003027fff
2.2|002c00000006000300030001:,002c000000050003027fff
2.3|002d00000006000300030001:,002d000000050003027fff
2.3|002e00000006000300030001:,002e000000050003027fff
2.4|002f00000006000300030001:,002f000000050003027fff
2.4|003000000006000300030001:,0030000000050003027fff
2.5|003100000006000300030001:,0031000000050003027fff
2.5|003200000006000300030001:,0032000000050003027fff
2.6|003300000006000300030001:,0033000000050003027fff
2.6|003400000006000300030001:,0034000000050003027fff
2.7|003500000006000300030001:,0035000000050003027fff
2.7|003600000006000300030001:,0036000000050003027fff
2.8|003700000006000300030001:,0037000000050003027fff
2.8|003800000006000300030001:,0038000000050003027fff
2.9|003900000006000300030001:,0039000000050003027fff
2.9|003a00000006000300030001:,003a000000050003027fff
3.0|003b00000006000300030001:,003b000000050003027fff
3.0|003c00000006000300030001:,003c000000050003027fff
3.1|003d00000006000300030001:,003d000000050003027fff
3.1|003e00000006000300030001:,003e000000050003027fff
3.2|003f00000006000300030001:,003f000000050003027fff
3.2|004000000006000300030001:,0040000000050003027fff
3.3|004100000006000300030001:,0041000000050003027fff
3.3|004200000006000300030001:,0042000000050003027fff
3.4|004300000006000300030001:,0043000000050003027fff
3.4|004400000006000300030001:,0044000000050003027fff
3.5|004500000006000300030001:,0045000000050003027fff
3.5|004600000006000300030001:,0046000000050003027fff
3.6|004700000006000300030001:,0047000000050003027fff
3.6|004800000006000300030001:,0048000000050003027fff
3.7|004900000006000300030001:,0049000000050003027fff
3.8|004a00000006000300030001:,004a000000050003027fff
3.8|004b00000006000300030001:,004b000000050003027fff
3.9|004c00000006000300030001:,004c000000050003027fff
3.9|004d00000006000300030001:,004d000000050003027fff
4.0|004e00000006000300030001:,004e000000050003027fff
4.0|004f00000006000300030001:,004f000000050003027fff
4.1|005000000006000300030001:,0050000000050003027fff
4.1|005100000006000300030001:,0051000000050003027fff
4.2|005200000006000300030001:,0052000000050003027fff
4.2|005300000006000300030001:,0053000000050003027fff
4.3|005400000006000300030001:,0054000000050003027fff
4.3|005500000006000300030001:,0055000000050003027fff
4.4|005600000006000300030001:,0056000000050003027fff
4.4|005700000006000300030001:,0057000000050003027fff
4.5|005800000006000300030001:,0058000000050003027fff
4.5|005900000006000300030001:,0059000000050003027fff
4.6|005a00000006000300030001:,005a000000050003027fff
4.6|005b00000006000300030001:,005b000000050003027fff
4.7|005c00000006000300030001:,005c000000050003027fff
4.7|005d00000006000300030001:,005d000000050003027fff
4.8|005e00000006000300030001:,005e000000050003027fff
4.8|005f00000006000300030001:,005f000000050003027fff
4.9|006000000006000300030001:,0060000000050003027fff
4.9|006100000006000300030001:,0061000000050003027fff
5.0|006200000006000300030001:,0062000000050003027fff
5.0|006300000006000300030001:,0063000000050003027fff
5.1|006400000006000300030001:,0064000000050003027fff
5.1|006500000006000300030001:,0065000000050003027fff
5.2|006600000006000300030001:,0066000000050003027fff
5.2|006700000006000300030001:,0067000000050003027fff
5.3|006800000006000300030001:,0068000000050003027fff
5.3|006900000006000300030001:,0069000000050003027fff
5.4|006a00000006000300030001:,006a000000050003027fff
5.4|006b00000006000300030001:,006b000000050003027fff
5.5|006c00000006000300030001:,006c000000050003027fff
5.5|006d00000006000300030001:,006d000000050003027fff
5.6|006e00000006000300030001:,006e000000050003027fff
5.7|006f00000006000300030001:,006f000000050003027fff
5.7|007000000006000300030001:,0070000000050003027fff
5.8|007100000006000300030001:,0071000000050003027fff
5.8|007200000006000300030001:,0072000000050003027fff
5.9|007300000006000300030001:,0073000000050003027fff
5.9|007400000006000300030001:,0074000000050003027fff
6.0|007500000006000300030001:,0075000000050003027fff
6.0|007600000006000300030001:,0076000000050003027fff
6.1|007700000006000300030001:,0077000000050003027fff
6.1|007800000006000300030001:,0078000000050003027fff
6.2|007900000006000300030001:,0079000000050003027fff
6.2|007a00000006000300030001:,007a000000050003027fff
6.3|007b00000006000300030001:,007b000000050003027fff
6.3|007c00000006000300030001:,007c000000050003027fff
6.4|007d00000006000300030001:,007d000000050003027fff
6.4|007e00000006000300030001:,007e000000050003027fff
6.5|007f00000006000300030001:,007f000000050003027fff
6.5|008000000006000300030001:,0080000000050003027fff
6.6|008100000006000300030001:,0081000000050003027fff
6.6|008200000006000300030001:,0082000000050003027fff
6.7|008300000006000300030001:,0083000000050003027fff
6.7|008400000006000300030001:,0084000000050003027fff
6.8|008500000006000300030001:,0085000000050003027fff
6.8|008600000006000300030001:,0086000000050003027fff
6.9|008700000006000300030001:,0087000000050003027fff
6.9|008800000006000300030001:,0088000000050003027fff
7.0|008900000006000300030001:,0089000000050003027fff
7.0|008a00000006000300030001:,008a000000050003027fff
7.1|008b00000006000300030001:,008b000000050003027fff
7.1|008c00000006000300030001:,008c000000050003027fff
7.2|008d00000006000300030001:,008d000000050003027fff
7.2|008e00000006000300030001:,008e000000050003027fff
7.3|008f00000006000300030001:,008f000000050003027fff
7.3|009000000006000300030001:,0090000000050003027fff
7.4|009100000006000300030001:,0091000000050003027fff
7.5|009200000006000300030001:,0092000000050003027fff
7.5|009300000006000300030001:,0093000000050003027fff
7.6|009400000006000300030001:,0094000000050003027fff
7.6|009500000006000300030001:,0095000000050003027fff
7.7|009600000006000300030001:,0096000000050003027fff
7.7|009700000006000300030001:,0097000000050003027fff
7.8|009800000006000300030001:,0098000000050003027fff
7.8|009900000006000300030001:,0099000000050003027fff
7.9|009a00000006000300030001:,009a000000050003027fff
7.9|009b00000006000300030001:,009b000000050003027fff
8.0|009c00000006000300030001:,009c000000050003027fff
8.0|009d00000006000300030001:,009d000000050003027fff
8.1|009e00000006000300030001:,009e000000050003027fff
8.1|009f00000006000300030001:,009f000000050003027fff
8.2|00a000000006000300030001:,00a0000000050003027fff
8.2|00a100000006000300030001:,00a1000000050003027fff
8.3|00a200000006000300030001:,00a2000000050003027fff
8.3|00a300000006000300030001:,00a3000000050003027fff
8.4|00a400000006000300030001:,00a4000000050003027fff
8.4|00a500000006000300030001:,00a5000000050003027fff
8.5|00a600000006000300030001:,00a6000000050003027fff
8.5|00a700000006000300030001:,00a7000000050003027fff
8.6|00a800000006000300030001:,00a8000000050003027fff
8.6|00a900000006000300030001:,00a9000000050003027fff
8.7|00aa00000006000300030001:,00aa000000050003027fff
8.7|00ab00000006000300030001:,00ab000000050003027fff
8.8|00ac00000006000300030001:,00ac000000050003027fff
8.8|00ad00000006000300030001:,00ad000000050003027fff
8.9|00ae00000006000300030001:,00ae000000050003027fff
8.9|00af00000006000300030001:,00af000000050003027fff
9.0|00b000000006000300030001:,00b0000000050003027fff
9.0|00b100000006000300030001:,00b1000000050003027fff
9.1|00b200000006000300030001:,00b2000000050003027fff
9.1|00b300000006000300030001:,00b3000000050003027fff
9.2|00b400000006000300030001:,00b4000000050003027fff
9.3|00b500000006000300030001:,00b5000000050003027fff
9.3|00b600000006000300030001:,00b6000000050003027fff
9.4|00b700000006000300030001:,00b7000000050003027fff
9.4|00b800000006000300030001:,00b8000000050003027fff
9.5|00b900000006000300030001:,00b9000000050003027fff
9.5|00ba00000006000300030001:,00ba000000050003027fff
9.6|00bb00000006000300030001:,00bb000000050003027fff
9.6|00bc00000006000300030001:,00bc000000050003027fff
9.7|00bd00000006000300030001:,00bd000000050003027fff
9.7|00be00000006000300030001:,00be000000050003027fff
9.8|00bf00000006000300030001:,00bf000000050003027fff
9.8|00c000000006000300030001:,00c0000000050003027fff
9.9|00c100000006000300030001:,00c1000000050003027fff
9.9|00c200000006000300030001:,00c2000000050003027fff
10.0|00c300000006000300030001:,00c3000000050003027fff
10.0|00c400000006000300030001:,00c4000000050003027fff
10.1|00c500000006000300030001:,00c5000000050003027fff
10.1|00c600000006000300030001:,00c6000000050003027fff
10.2|00c700000006000300030001:,00c7000000050003027fff
10.2|00c800000006000300030001:,00c8000000050003027fff
10.3|00c900000006000300030001:,00c9000000050003027fff
10.3|00ca00000006000300030001:,00ca000000050003027fff
10.4|00cb00000006000300030001:,00cb000000050003027fff
10.4|00cc00000006000300030001:,00cc000000050003027fff
10.5|00cd00000006000300030001:,00cd000000050003027fff
10.5|00ce00000006000300030001:,00ce000000050003027fff
10.6|00cf00000006000300030001:,00cf000000050003027fff
10.6|00d000000006000300030001:,00d0000000050003027fff
10.7|00d100000006000300030001:,00d1000000050003027fff
10.7|00d200000006000300030001:,00d2000000050003027fff
10.8|00d300000006000300030001:,00d3000000050003027fff
10.8|00d400000006000300030001:,00d4000000050003027fff
10.9|00d500000006000300030001:,00d5000000050003027fff
10.9|00d600000006000300030001:,00d6000000050003027fff
11.0|00d700000006000300030001:,00d7000000050003027fff
11.0|00d800000006000300030001:,00d8000000050003027fff
11.1|00d900000006000300030001:,00d9000000050003027fff
11.2|00da00000006000300030001:,00da000000050003027fff
11.2|00db00000006000300030001:,00db000000050003027fff
11.3|00dc00000006000300030001:,00dc000000050003027fff
11.3|00dd00000006000300030001:,00dd000000050003027fff
11.4|00de00000006000300030001:,00de000000050003027fff
11.4|00df00000006000300030001:,00df000000050003027fff
11.5|00e000000006000300030001:,00e0000000050003027fff
11.5|00e100000006000300030001:,00e1000000050003027fff
11.6|00e200000006000300030001:,00e2000000050003027fff
11.6|00e300000006000300030001:,00e3000000050003027fff
11.7|00e400000006000300030001:,00e4000000050003027fff
11.7|00e500000006000300030001:,00e5000000050003027fff
11.8|00e600000006000300030001:,00e6000000050003027fff
11.8|00e700000006000300030001:,00e7000000050003027fff
11.9|00e800000006000300030001:,00e8000000050003027fff
11.9|00e900000006000300030001:,00e9000000050003027fff
12.0|00ea00000006000300030001:,00ea000000050003027fff
