step,csv-epoch,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/none,csv-accuracy/micro
0,0,3.422879934310913,,,,,
1,0,3.097719192504883,,,,,
2,0,2.805429697036743,,,,,
3,0,2.588231325149536,,,,,
4,0,2.4013288021087646,,,,,
5,0,2.408301830291748,,,,,
6,0,2.3088016510009766,,,,,
7,0,2.143782615661621,,,,,
8,0,1.9828646183013916,,,,,
9,0,1.9891796112060547,,,,,
10,0,1.901019811630249,,,,,
11,0,1.7583057880401611,,,,,
12,0,1.720977783203125,,,,,
13,0,1.6896318197250366,,,,,
14,0,1.6263480186462402,,,,,
15,0,1.551511526107788,,,,,
16,0,1.5296229124069214,,,,,
17,0,1.4611399173736572,,,,,
18,0,1.4309550523757935,,,,,
19,0,1.3307712078094482,,,,,
20,0,1.2940469980239868,,,,,
21,0,1.268221378326416,,,,,
22,0,1.2145966291427612,,,,,
23,0,1.2146263122558594,,,,,
24,0,1.1296204328536987,,,,,
25,0,1.1250754594802856,,,,,
0,,,0.8080242872238159,,,,
1,,,0.7781230211257935,,,,
2,,,0.8290833234786987,,,,
3,,,0.7506380677223206,,,,
25,0,,,0.8008893132209778,,,
25,0,,,,1.861345887184143,0.0,0.07421875
26,1,1.1509203910827637,,,,,
27,1,1.0850178003311157,,,,,
28,1,1.0825618505477905,,,,,
29,1,1.1051042079925537,,,,,
30,1,1.0243479013442993,,,,,
31,1,1.0084071159362793,,,,,
32,1,0.9995330572128296,,,,,
33,1,0.986414909362793,,,,,
34,1,0.9713467955589294,,,,,
35,1,0.9859508872032166,,,,,
36,1,0.9329510927200317,,,,,
37,1,0.9830852150917053,,,,,
38,1,0.947756290435791,,,,,
39,1,0.8990514278411865,,,,,
40,1,0.8765243887901306,,,,,
41,1,0.8757355213165283,,,,,
42,1,0.8697265386581421,,,,,
43,1,0.8425836563110352,,,,,
44,1,0.8088729381561279,,,,,
45,1,0.8207665085792542,,,,,
46,1,0.8314908742904663,,,,,
47,1,0.7945390939712524,,,,,
48,1,0.7776684761047363,,,,,
49,1,0.7754548788070679,,,,,
50,1,0.7572576403617859,,,,,
51,1,0.6997802257537842,,,,,
4,,,0.46279177069664,,,,
5,,,0.4637296795845032,,,,
6,,,0.5185127854347229,,,,
7,,,0.4090825319290161,,,,
51,1,,,0.4760937988758087,,,
51,1,,,,0.9189557433128357,0.05859375,0.3515625
52,2,0.7285153865814209,,,,,
53,2,0.6825551986694336,,,,,
54,2,0.7423121333122253,,,,,
55,2,0.6692391633987427,,,,,
56,2,0.7087736129760742,,,,,
57,2,0.7035335302352905,,,,,
