csv-epoch,csv-train_loss_step,step,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/validator,csv-accuracy/exact
0,3.2219369411468506,0,,,,,
0,3.037848472595215,1,,,,,
0,2.721670627593994,2,,,,,
0,2.601914405822754,3,,,,,
0,2.362889289855957,4,,,,,
0,2.4215307235717773,5,,,,,
0,2.4092609882354736,6,,,,,
0,2.4385955333709717,7,,,,,
0,2.337528705596924,8,,,,,
0,2.1030662059783936,9,,,,,
0,2.100018262863159,10,,,,,
0,1.9453569650650024,11,,,,,
0,1.9640913009643555,12,,,,,
0,1.952534794807434,13,,,,,
0,1.8821254968643188,14,,,,,
0,1.8266187906265259,15,,,,,
0,1.6728206872940063,16,,,,,
0,1.67276132106781,17,,,,,
0,1.5544991493225098,18,,,,,
0,1.744000792503357,19,,,,,
0,1.5877313613891602,20,,,,,
0,1.50264573097229,21,,,,,
0,1.6326106786727905,22,,,,,
0,1.4680290222167969,23,,,,,
0,1.4172712564468384,24,,,,,
0,1.4982341527938843,25,,,,,
0,1.3036561012268066,26,,,,,
0,1.349385142326355,27,,,,,
0,1.3927686214447021,28,,,,,
0,1.2943035364151,29,,,,,
0,1.1682113409042358,30,,,,,
0,1.3470622301101685,31,,,,,
0,1.2543686628341675,32,,,,,
0,1.2598063945770264,33,,,,,
0,1.1588752269744873,34,,,,,
0,1.227373719215393,35,,,,,
0,1.1770684719085693,36,,,,,
0,0.9521105289459229,37,,,,,
0,1.079586386680603,38,,,,,
0,1.077500581741333,39,,,,,
0,1.1052896976470947,40,,,,,
0,0.9615086913108826,41,,,,,
0,0.9422491192817688,42,,,,,
0,0.8399893045425415,43,,,,,
0,0.9236548542976379,44,,,,,
0,0.8829812407493591,45,,,,,
0,0.8863333463668823,46,,,,,
0,0.8141486048698425,47,,,,,
0,0.7842026948928833,48,,,,,
0,0.9243534207344055,49,,,,,
0,0.8622139096260071,50,,,,,
0,0.89149409532547,51,,,,,
0,0.7853063344955444,52,,,,,
0,0.9267213940620422,53,,,,,
0,0.8458560109138489,54,,,,,
0,0.8020089864730835,55,,,,,
0,0.7421289086341858,56,,,,,
0,0.7557669878005981,57,,,,,
0,0.6714863181114197,58,,,,,
0,0.5676636099815369,59,,,,,
0,0.5874823331832886,60,,,,,
0,0.649014413356781,61,,,,,
0,0.5531518459320068,62,,,,,
0,0.6680737733840942,63,,,,,
0,0.5817438364028931,64,,,,,
0,0.5436084866523743,65,,,,,
0,0.5422950983047485,66,,,,,
0,0.5266521573066711,67,,,,,
0,0.5497193932533264,68,,,,,
0,0.5159726738929749,69,,,,,
0,0.4938661456108093,70,,,,,
