source_test,target_text
x,y
x,y
-10.0,5e-05
-9.999,5e-05
-9.998,5e-05
-9.997,5e-05
-9.996,5e-05
-9.995,5e-05
-9.994,5e-05
-9.993,5e-05
-9.992,5e-05
-9.991,5e-05
-9.99,5e-05
-9.989,5e-05
-9.988,5e-05
-9.987,5e-05
-9.986,5e-05
-9.985,5e-05
-9.984,5e-05
-9.983,5e-05
-9.982,5e-05
-9.981,5e-05
-9.98,5e-05
-9.979,5e-05
-9.978,5e-05
-9.977,5e-05
-9.976,5e-05
-9.975,5e-05
-9.974,5e-05
-9.973,5e-05
-9.972,5e-05
-9.971,5e-05
-9.97,5e-05
-9.969,5e-05
-9.968,5e-05
-9.967,5e-05
-9.966,5e-05
-9.965,5e-05
-9.964,5e-05
-9.963,5e-05
-9.962,5e-05
-9.961,5e-05
-9.96,5e-05
-9.959,5e-05
-9.958,5e-05
-9.957,5e-05
-9.956,5e-05
-9.955,5e-05
-9.954,5e-05
-9.953,5e-05
-9.952,5e-05
-9.951,5e-05
-9.95,5e-05
-9.949,5e-05
-9.948,5e-05
-9.947,5e-05
-9.946,5e-05
-9.945,5e-05
-9.944,5e-05
-9.943,5e-05
-9.942,5e-05
-9.941,5e-05
-9.94,5e-05
-9.939,5e-05
-9.938,5e-05
-9.937,5e-05
-9.936,5e-05
-9.935,5e-05
-9.934,5e-05
-9.933,5e-05
-9.932,5e-05
-9.931,5e-05
-9.93,5e-05
-9.929,5e-05
-9.928,5e-05
-9.927,5e-05
-9.926,5e-05
-9.925,5e-05
-9.924,5e-05
-9.923,5e-05
-9.922,5e-05
-9.921,5e-05
-9.92,5e-05
-9.919,5e-05
-9.918,5e-05
-9.917,5e-05
-9.916,5e-05
-9.915,5e-05
-9.914,5e-05
-9.913,5e-05
-9.912,5e-05
-9.911,5e-05
-9.91,5e-05
-9.909,5e-05
-9.908,5e-05
-9.907,5e-05
-9.906,5e-05
-9.905,5e-05
-9.904,5e-05
-9.903,5e-05
-9.902,5e-05
-9.901,5e-05
-9.89999,5e-05
-9.89899,5e-05
-9.89799,5e-05
-9.89699,5e-05
-9.89599,5e-05
-9.89499,5e-05
-9.89399,5e-05
-9.89299,5e-05
-9.89199,5e-05
-9.89099,5e-05
-9.88999,5e-05
-9.88899,5e-05
-9.88799,5e-05
-9.88699,5e-05
-9.88599,5e-05
-9.88499,5e-05
-9.88399,5e-05
-9.88299,5e-05
-9.88199,5e-05
-9.88099,5e-05
-9.87999,5e-05
-9.87899,5e-05
-9.87799,5e-05
-9.87699,5e-05
-9.87599,5e-05
-9.87499,5e-05
-9.87399,5e-05
-9.87299,5e-05
-9.87199,5e-05
-9.87099,5e-05
-9.86999,5e-05
-9.86899,5e-05
-9.86799,5e-05
-9.86699,5e-05
-9.86599,5e-05
-9.86499,5e-05
-9.86399,5e-05
-9.86299,5e-05
-9.86199,5e-05
-9.86099,5e-05
-9.85999,5e-05
-9.85899,5e-05
-9.85799,5e-05
-9.85699,5e-05
-9.85599,5e-05
-9.85499,5e-05
-9.85399,5e-05
-9.85299,5e-05
-9.85199,5e-05
-9.85099,5e-05
-9.84999,5e-05
-9.84899,5e-05
-9.84799,5e-05
-9.84699,5e-05
-9.84599,5e-05
-9.84499,5e-05
-9.84399,5e-05
-9.84299,5e-05
-9.84199,5e-05
-9.84099,5e-05
-9.83999,5e-05
-9.83899,5e-05
-9.83799,5e-05
-9.83699,5e-05
-9.83599,5e-05
-9.83499,5e-05
-9.83399,5e-05
-9.83299,5e-05
-9.83199,5e-05
-9.83099,5e-05
-9.82999,5e-05
-9.82899,5e-05
-9.82799,5e-05
-9.82699,5e-05
-9.82599,5e-05
-9.82499,5e-05
-9.82399,5e-05
-9.82299,5e-05
-9.82199,5e-05
-9.82099,5e-05
-9.81999,5e-05
-9.81899,5e-05
-9.81799,5e-05
-9.81699,5e-05
-9.81599,5e-05
-9.81499,5e-05
-9.81399,5e-05
-9.81299,5e-05
-9.81199,5e-05
-9.81099,5e-05
-9.80999,5e-05
-9.80899,5e-05
-9.80799,6e-05
-9.80699,6e-05
-9.80599,6e-05
-9.80499,6e-05
-9.80399,6e-05
-9.80299,6e-05
-9.80199,6e-05
-9.80099,6e-05
-9.79999,6e-05
-9.79899,6e-05
-9.79799,6e-05
-9.79699,6e-05
-9.79599,6e-05
-9.79499,6e-05
-9.79399,6e-05
-9.79299,6e-05
-9.79199,6e-05
-9.79099,6e-05
-9.78999,6e-05
-9.78899,6e-05
-9.78799,6e-05
-9.78699,6e-05
-9.78599,6e-05
-9.78499,6e-05
-9.78399,6e-05
-9.78299,6e-05
-9.78199,6e-05
-9.78099,6e-05
-9.77999,6e-05
-9.77899,6e-05
-9.77799,6e-05
-9.77699,6e-05
-9.77599,6e-05
-9.77499,6e-05
-9.77399,6e-05
-9.77299,6e-05
-9.77199,6e-05
-9.77099,6e-05
-9.76999,6e-05
-9.76899,6e-05
-9.76799,6e-05
-9.76699,6e-05
-9.76599,6e-05
-9.76499,6e-05
-9.76399,6e-05
-9.76299,6e-05
-9.76199,6e-05
-9.76099,6e-05
-9.75999,6e-05
-9.75899,6e-05
-9.75799,6e-05
-9.75699,6e-05
-9.75599,6e-05
-9.75499,6e-05
-9.75399,6e-05
-9.75299,6e-05
-9.75199,6e-05
-9.75099,6e-05
-9.74999,6e-05
-9.74899,6e-05
-9.74799,6e-05
-9.74699,6e-05
-9.74599,6e-05
-9.74499,6e-05
-9.74399,6e-05
-9.74299,6e-05
-9.74199,6e-05
-9.74099,6e-05
-9.73999,6e-05
-9.73899,6e-05
-9.73799,6e-05
-9.73699,6e-05
-9.73599,6e-05
-9.73499,6e-05
-9.73399,6e-05
-9.73299,6e-05
-9.73199,6e-05
-9.73099,6e-05
-9.72999,6e-05
-9.72899,6e-05
-9.72799,6e-05
-9.72699,6e-05
-9.72599,6e-05
-9.72499,6e-05
-9.72399,6e-05
-9.72299,6e-05
-9.72199,6e-05
-9.72099,6e-05
-9.71999,6e-05
-9.71899,6e-05
-9.71799,6e-05
-9.71699,6e-05
-9.71599,6e-05
-9.71499,6e-05
-9.71399,6e-05
-9.71299,6e-05
-9.71199,6e-05
-9.71099,6e-05
-9.70999,6e-05
-9.70899,6e-05
-9.70799,6e-05
-9.70699,6e-05
-9.70599,6e-05
-9.70499,6e-05
-9.70399,6e-05
-9.70299,6e-05
-9.70199,6e-05
-9.70099,6e-05
-9.69998,6e-05
-9.69898,6e-05
-9.69798,6e-05
-9.69698,6e-05
-9.69598,6e-05
-9.69498,6e-05
-9.69398,6e-05
-9.69298,6e-05
-9.69198,6e-05
-9.69098,6e-05
-9.68998,6e-05
-9.68898,6e-05
-9.68798,6e-05
-9.68698,6e-05
-9.68598,6e-05
-9.68498,6e-05
-9.68398,6e-05
-9.68298,6e-05
-9.68198,6e-05
-9.68098,6e-05
-9.67998,6e-05
-9.67898,6e-05
-9.67798,6e-05
-9.67698,6e-05
-9.67598,6e-05
-9.67498,6e-05
-9.67398,6e-05
-9.67298,6e-05
-9.67198,6e-05
-9.67098,6e-05
-9.66998,6e-05
-9.66898,6e-05
-9.66798,6e-05
-9.66698,6e-05
-9.66598,6e-05
-9.66498,6e-05
-9.66398,6e-05
-9.66298,6e-05
-9.66198,6e-05
-9.66098,6e-05
-9.65998,6e-05
-9.65898,6e-05
-9.65798,6e-05
-9.65698,6e-05
-9.65598,6e-05
-9.65498,6e-05
-9.65398,6e-05
-9.65298,6e-05
-9.65198,6e-05
-9.65098,6e-05
-9.64998,6e-05
-9.64898,6e-05
-9.64798,6e-05
-9.64698,6e-05
-9.64598,6e-05
-9.64498,6e-05
-9.64398,6e-05
-9.64298,6e-05
-9.64198,6e-05
-9.64098,7e-05
-9.63998,7e-05
-9.63898,7e-05
-9.63798,7e-05
-9.63698,7e-05
-9.63598,7e-05
-9.63498,7e-05
-9.63398,7e-05
-9.63298,7e-05
-9.63198,7e-05
-9.63098,7e-05
-9.62998,7e-05
-9.62898,7e-05
-9.62798,7e-05
-9.62698,7e-05
-9.62598,7e-05
-9.62498,7e-05
-9.62398,7e-05
-9.62298,7e-05
-9.62198,7e-05
-9.62098,7e-05
-9.61998,7e-05
-9.61898,7e-05
-9.61798,7e-05
-9.61698,7e-05
-9.61598,7e-05
-9.61498,7e-05
-9.61398,7e-05
-9.61298,7e-05
-9.61198,7e-05
